"rank_population","country_en","iso3","leader_name_en","office_title","leader_verdict","salary_verdict","salary_usd_monthly_display","salary_confidence","fact_check_note","primary_sources","head_of_state_recheck_status","head_of_state_recheck_source"
"11","Japan","JPN","Naruhito","Monarch / head of state; no president","OK","FILLED_PRODUCTION_ESTIMATE","$17,500","estimated","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"12","Philippines","PHL","Bongbong Marcos","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$7,963","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"13","Democratic Republic of the Congo","COD","Félix Tshisekedi","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$10,800","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://kt.cd/2024/03/07/en-rdc-le-president-felix-tshisekedi-touche-un-salaire-annuel-de-129-600-usd/ | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"14","Ethiopia","ETH","Taye Atske Selassie","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$3,772","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"15","Egypt","EGY","Abdel Fattah el-Sisi","Head of state / president where applicable","OK","OK_APPROXIMATE","$840","medium","","https://www.egypt-business.com/news/details/1420-egypt-president-salary-to-be-raised-to-egp42000/9080 | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"16","Vietnam","VNM","Tô Lâm","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$925","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"17","Iran","IRN","Mojtaba Khamenei","Supreme Leader / head of state","FIXED_HEAD_OF_STATE","FILLED_PRODUCTION_ESTIMATE","$1,500","estimated","FACTCHECK: Iran: kept President Masoud Pezeshkian for president-focused video; supreme leader is head of state, so salary is not comparable. | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll | HEAD_OF_STATE_RECHECK: Iran changed from president Masoud Pezeshkian to Supreme Leader Mojtaba Khamenei because Supreme Leader is the head of state.","https://www.cia.gov/resources/world-leaders/foreign-governments/iran | https://www.wikidata.org/wiki/Q2919350 | https://www.reuters.com/ (state media report cited via Reuters/secondary wires)","FIXED_HEAD_OF_STATE","Wikidata P35 Q2919350 = Mojtaba Khamenei; Reuters/state-media reports confirm new Supreme Leader; row corrected from President Masoud Pezeshkian."
"18","Turkey","TUR","Recep Tayyip Erdoğan","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$5,833","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"19","Germany","DEU","Frank-Walter Steinmeier","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$34,467","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"20","United Kingdom","GBR","Charles III","Monarch / head of state; no president","OK","FILLED_PRODUCTION_ESTIMATE","$100,000","estimated","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"21","France","FRA","Emmanuel Macron","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$16,192","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"22","Tanzania","TZA","Samia Suluhu Hassan","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$3,942","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"23","Thailand","THA","Vajiralongkorn","Monarch / head of state; no president","OK","FILLED_PRODUCTION_ESTIMATE","$60,000","estimated","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"24","South Africa","ZAF","Cyril Ramaphosa","Head of state / president where applicable","OK","OK_HIGHER_CONFIDENCE","$15,042","high","","https://www.remcommission.gov.za/library/determinations | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"25","Italy","ITA","Sergio Mattarella","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$22,929","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"26","Kenya","KEN","William Ruto","Head of state / president where applicable","OK","OK_HIGHER_CONFIDENCE","$11,150","high","","https://www.src.go.ke/ | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"27","Colombia","COL","Gustavo Petro","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$11,223","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"28","Sudan","SDN","Abdel Fattah al-Burhan","Chair, Transitional Sovereignty Council / de facto head of state","SPECIAL_OFFICE","REVIEW_APPROXIMATE","$2,443","low","FACTCHECK: Sudan: de facto head of state / Sovereignty Council chair; salary weak. | FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"29","Myanmar","MMR","Min Aung Hlaing","President; military-backed government, disputed legitimacy","FIXED","FILLED_PRODUCTION_ESTIMATE","$3,000","estimated","FACTCHECK: CIA/AP/Xinhua current 2026 president; salary not reliably public | FACTCHECK: Current 2026 president changed; personal salary not reliably public. | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","CONFIRMED_EXTERNAL_STALE_WIKIDATA","Wikidata P35 still showed Myint Swe; CIA/AP/Myanmar President Office confirm Min Aung Hlaing as president in 2026."
"30","South Korea","KOR","Lee Jae Myung","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$17,610","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"31","Spain","ESP","Felipe VI of Spain","King / head of state; no president","OK","FILLED_PRODUCTION_ESTIMATE","$26,000","estimated","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"32","Algeria","DZA","Abdelmadjid Tebboune","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$5,833","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"33","Argentina","ARG","Javier Milei","Head of state / president where applicable","OK","OK_HIGHER_CONFIDENCE","$3,450","high","","https://www.lanacion.com.ar/politica/cuanto-cobra-de-sueldo-el-presidente-de-la-nacion-nid30122025/ | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"34","Iraq","IRQ","Nizar Amedi","President","FIXED","FILLED_PRODUCTION_ESTIMATE","$12,000","estimated","FACTCHECK: CIA and April 2026 parliamentary election reports; prior Abdul Latif Rashid row was stale | FACTCHECK: Current 2026 president changed; prior $809,673 salary is not verified for current president. | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","CONFIRMED_EXTERNAL_STALE_WIKIDATA","Wikidata P35 still showed Abdul Latif Rashid; CIA/AP confirm Nizar Amedi/Amidi as president in 2026."
"35","Uganda","UGA","Yoweri Museveni","Head of state / president where applicable","OK","OK_APPROXIMATE","$975","medium","","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"36","Afghanistan","AFG","Hibatullah Akhundzada","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$3,002","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"37","Canada","CAN","Louise Arbour","Governor General of Canada / representative of the monarch","FIXED_REPRESENTATIVE_FOR_SALARY_BASIS","FILLED_PRODUCTION_ESTIMATE","$24,000","estimated","FACTCHECK 2026-06-09: Charles III is formal monarch, but salary_basis uses governor-general equivalent. Replaced display person/photo with Louise Arbour, installed as 31st Governor General on 8 June 2026.","https://www.pm.gc.ca/en/news/news-releases/2026/05/05/prime-minister-carney-announces-kings-approval-canadas-next-governor | https://www.canada.ca/en/canadian-heritage/news/2026/06/installation-ceremony-of-the-honourable-louise-arbour-as-the-31st-governor-general-of-canada.html | https://www.tvanouvelles.ca/2026/01/29/la-remuneration-de-la-gouverneure-generale-atteint-desormais-393-800","FIXED_COMMONWEALTH_REPRESENTATIVE_METHODOLOGY","Prime Minister of Canada; Canada.ca installation release; TVA/Privy Council salary reporting."
"38","Angola","AGO","João Lourenço","Head of state / president where applicable","OK","OK_APPROXIMATE","$700","medium","","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"39","Uzbekistan","UZB","Shavkat Mirziyoyev","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$1,300","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"40","Poland","POL","Karol Nawrocki","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$5,836","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"41","Morocco","MAR","Mohammed VI of Morocco","Monarch / head of state; no president","OK","FILLED_PRODUCTION_ESTIMATE","$40,700","estimated","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"42","Saudi Arabia","SAU","Salman bin Abdulaziz Al Saud","Monarch / head of state; no president","OK","FILLED_PRODUCTION_ESTIMATE","$100,000","estimated","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"43","Malaysia","MYS","Ibrahim Iskandar of Johor","Monarch / head of state; no president","OK","FILLED_PRODUCTION_ESTIMATE","$21,958","estimated","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"44","Peru","PER","José María Balcázar","Head of state / president where applicable","OK","OK_APPROXIMATE","$4,711","medium","","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"45","Mozambique","MOZ","Daniel Chapo","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$3,900","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"46","Ghana","GHA","John Mahama","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$6,333","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"47","Yemen","YEM","Rashad al-Alimi","Chairperson, Presidential Leadership Council","SPECIAL_OFFICE","REVIEW_APPROXIMATE","$1,275","low","FACTCHECK: Yemen: chair of Presidential Leadership Council; salary weak. | FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"48","Madagascar","MDG","Michael Randrianirina","Head of state / president where applicable","OK","FILLED_PRODUCTION_ESTIMATE","$4,000","estimated","FACTCHECK: Salary not publicly disclosed for current post-coup president. | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"49","Ivory Coast","CIV","Alassane Ouattara","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$8,333","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"50","Nepal","NPL","Ram Chandra Poudel","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$1,465","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"51","Cameroon","CMR","Paul Biya","Head of state / president where applicable","OK","FILLED_PRODUCTION_ESTIMATE","$8,000","estimated","FACTCHECK: salary retained as approximate; official/current source not fully verified | FACTCHECK: high aggregate salary suppressed; no reliable official/current salary confirmation found | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"52","Ukraine","UKR","Volodymyr Zelenskyy","Head of state / president where applicable","OK","OK_APPROXIMATE","$638","low","","https://modern.az/en/dunya/587191/zelensky-his-salary-and-income-disclosed/ | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"53","Venezuela","VEN","Delcy Rodriguez","Acting President / Executive Vice President","SPECIAL_OFFICE","FILLED_PRODUCTION_ESTIMATE","$1,000","estimated","FACTCHECK: Venezuela: acting president / executive vice president; salary not independently verified. | FACTCHECK: Acting president salary not independently verified. | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"54","Australia","AUS","Sam Mostyn","Governor-General of Australia / representative of the monarch","FIXED_REPRESENTATIVE_FOR_SALARY_BASIS","FILLED_PRODUCTION_ESTIMATE","$38,500","estimated","FACTCHECK 2026-06-09: Charles III is formal monarch, but salary_basis uses governor-general equivalent. Replaced display person/photo with Sam Mostyn, Australia Governor-General since 1 July 2024.","https://www.gg.gov.au/about-governor-general/governor-generals-biography | https://www.legislation.gov.au/C2024A00053/asmade/2024-06-28/text/original/pdf","FIXED_COMMONWEALTH_REPRESENTATIVE_METHODOLOGY","Official Governor-General biography; Governor-General Amendment (Salary) Act 2024."
"55","Niger","NER","Abdourahamane Tchiani","Head of state / president where applicable","OK","FILLED_PRODUCTION_ESTIMATE","$3,000","estimated","FACTCHECK: Salary not publicly disclosed. | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"56","North Korea","PRK","Kim Jong-un","Head of state / president where applicable","OK","FILLED_PRODUCTION_ESTIMATE","$5,000","estimated","FACTCHECK: Salary not publicly disclosed. | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"57","Syria","SYR","Ahmed al-Sharaa","Head of state / president where applicable","OK","FILLED_PRODUCTION_ESTIMATE","$5,000","estimated","FACTCHECK: salary retained as approximate; official/current source not fully verified | FACTCHECK: high aggregate salary suppressed; no reliable official/current salary confirmation found | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"58","Burkina Faso","BFA","Ibrahim Traoré","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$2,818","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
